x1,y1,z1
-0.593412,-0.010089,0.804835
-0.585336,-0.009952,0.810730
-0.577200,-0.009813,0.816544
-0.569007,-0.009674,0.822276
-0.560757,-0.009534,0.827925
-0.552451,-0.009393,0.833492
-0.544090,-0.009250,0.838976
-0.535675,-0.009107,0.844375
-0.527205,-0.008963,0.849691
-0.518684,-0.008818,0.854921
-0.510110,-0.008673,0.860066
-0.501485,-0.008526,0.865124
-0.492810,-0.008379,0.870097
-0.484086,-0.008230,0.874982
-0.475313,-0.008081,0.879779
-0.466493,-0.007931,0.884489
-0.457626,-0.007780,0.889111
-0.448714,-0.007629,0.893643
-0.439756,-0.007477,0.898086
-0.430755,-0.007324,0.902439
-0.421711,-0.007170,0.906702
-0.412624,-0.007015,0.910874
-0.403496,-0.006860,0.914956
-0.394328,-0.006704,0.918945
-0.385120,-0.006548,0.922843
-0.375874,-0.006390,0.926649
-0.366590,-0.006233,0.930362
-0.357270,-0.006074,0.933982
-0.347913,-0.005915,0.937508
-0.338522,-0.005755,0.940941
-0.329098,-0.005595,0.944279
-0.319640,-0.005434,0.947524
-0.310150,-0.005273,0.950673
-0.300629,-0.005111,0.953727
-0.291079,-0.004949,0.956686
-0.281499,-0.004786,0.959550
-0.271891,-0.004623,0.962317
-0.262256,-0.004459,0.964988
-0.252594,-0.004295,0.967563
-0.242907,-0.004130,0.970041
-0.233196,-0.003965,0.972422
-0.223462,-0.003799,0.974705
-0.213706,-0.003633,0.976891
-0.203927,-0.003467,0.978980
-0.194129,-0.003301,0.980970
-0.184311,-0.003134,0.982863
-0.174475,-0.002966,0.984657
-0.164621,-0.002799,0.986353
-0.154751,-0.002631,0.987950
-0.144865,-0.002463,0.989448
-0.134965,-0.002295,0.990848
-0.125052,-0.002126,0.992148
-0.115126,-0.001957,0.993349
-0.105188,-0.001788,0.994451
-0.095240,-0.001619,0.995453
-0.085282,-0.001450,0.996356
-0.075316,-0.001280,0.997159
-0.065342,-0.001111,0.997862
-0.055362,-0.000941,0.998466
-0.045376,-0.000771,0.998970
-0.035386,-0.000602,0.999374
-0.025392,-0.000432,0.999677
-0.015395,-0.000262,0.999881
-0.005397,-0.000092,0.999985
0.004601,0.000078,0.999989
0.014599,0.000248,0.999893
0.024596,0.000418,0.999697
0.034590,0.000588,0.999401
0.044581,0.000758,0.999006
0.054567,0.000928,0.998510
0.064548,0.001097,0.997914
0.074522,0.001267,0.997219
0.084489,0.001436,0.996423
0.094447,0.001606,0.995529
0.104396,0.001775,0.994534
0.114335,0.001944,0.993440
0.124262,0.002113,0.992247
0.134176,0.002281,0.990955
0.144078,0.002450,0.989563
0.153964,0.002618,0.988073
0.163836,0.002785,0.986484
0.173691,0.002953,0.984796
0.183529,0.003120,0.983009
0.193348,0.003287,0.981125
0.203148,0.003454,0.979142
0.212928,0.003620,0.977061
0.222686,0.003786,0.974883
0.232422,0.003952,0.972607
0.242135,0.004117,0.970234
0.251824,0.004281,0.967764
0.261487,0.004446,0.965197
0.271125,0.004610,0.962533
0.280735,0.004773,0.959774
0.290317,0.004936,0.956918
0.299870,0.005098,0.953966
0.309393,0.005260,0.950920
0.318885,0.005422,0.947778
0.328346,0.005582,0.944541
0.337773,0.005743,0.941210
0.347167,0.005902,0.937785
0.356526,0.006062,0.934266
0.365849,0.006220,0.930653
0.375136,0.006378,0.926948
0.384385,0.006535,0.923150
0.393596,0.006692,0.919259
0.402767,0.006848,0.915277
0.411898,0.007003,0.911203
0.420988,0.007157,0.907038
0.430036,0.007311,0.902782
0.439041,0.007464,0.898436
0.448002,0.007617,0.894000
0.456918,0.007768,0.889475
0.465789,0.007919,0.884861
0.474613,0.008069,0.880158
0.483389,0.008218,0.875367
0.492117,0.008367,0.870489
0.500796,0.008514,0.865523
0.509425,0.008661,0.860472
0.518003,0.008807,0.855334
0.526529,0.008952,0.850110
0.535002,0.009096,0.844802
0.543422,0.009239,0.839409
0.551788,0.009381,0.833932
0.560098,0.009523,0.828372
0.568352,0.009663,0.822728
0.576550,0.009802,0.817003
0.584690,0.009941,0.811196
0.592771,0.010078,0.805308
0.600793,0.010214,0.799339
0.608755,0.010350,0.793290
0.616657,0.010484,0.787162
0.624496,0.010617,0.780956
0.632273,0.010750,0.774671
0.639987,0.010881,0.768309
0.647637,0.011011,0.761870
0.655222,0.011140,0.755354
0.662742,0.011268,0.748763
0.670195,0.011394,0.742098
0.677581,0.011520,0.735358
0.684900,0.011644,0.728544
0.692150,0.011768,0.721658
0.699330,0.011890,0.714700
0.706441,0.012011,0.707670
